,city_town,house_district
279,southborough,['Eighth Middlesex']
280,southbridge,['Sixth Worcester']
281,southwick,['Third Hampden']
282,spencer,"['Fifth Worcester', 'Sixth Worcester']"
283,springfield,"['Sixth Hampden', 'Seventh Hampden', 'Ninth Hampden', 'Tenth Hampden', 'Eleventh Hampden', 'Twelfth Hampden']"
284,sterling,"['First Worcester', 'Twelfth Worcester']"
285,stockbridge,['Fourth Berkshire']
286,stoneham,['Thirty-First Middlesex']
287,stoughton,"['Sixth Norfolk', 'Eighth Norfolk']"
288,stow,['Third Middlesex']
289,sturbridge,['First Hampden']
290,sudbury,['Thirteenth Middlesex']
291,sunderland,['First Franklin']
292,sutton,['Eighteenth Worcester']
293,swampscott,['Eighth Essex']
294,swansea,"['Fourth Bristol', 'Fifth Bristol']"
295,taunton,"['Third Bristol', 'Fifth Bristol', 'Twelfth Bristol']"
296,templeton,['Second Franklin']
297,tewksbury,['Nineteenth Middlesex']
298,tewskbury,['Eighteenth Essex']
299,tisbury,"['Barnstable, Dukes and Nantucket']"
300,tolland,['Fourth Berkshire']
301,topsfield,['Fourth Essex']
302,townsend,['First Middlesex']
303,truro,['Fourth Barnstable']
304,tyngsborough,['Thirty-Sixth Middlesex']
305,tyringham,['Fourth Berkshire']
306,upton,['Ninth Worcester']
307,uxbridge,['Eighth Worcester']
308,wakefield,"['Ninth Essex', 'Thirty-Second Middlesex']"
309,wales,['First Hampden']
310,walpole,"['Eighth Norfolk', 'Ninth Norfolk', 'Eleventh Norfolk', 'Twelfth Norfolk']"
311,waltham,"['Ninth Middlesex', 'Tenth Middlesex']"
312,ware,"['First Hampden', 'Fifth Worcester']"
313,wareham,['Second Plymouth']
314,warren,['First Hampden']
315,warwick,['Second Franklin']
316,washington,['Fourth Berkshire']
317,watertown,"['Tenth Middlesex', 'Twenty-Ninth Middlesex']"
318,wayland,"['Thirteenth Middlesex', 'Fourteenth Norfolk']"
319,"wd. 1, pct. a",['Third Berkshire']
320,wds. 2-7,['Third Berkshire']
321,webster,['Eighteenth Worcester']
322,wellesley,['Fourteenth Norfolk']
323,wellfleet,['Fourth Barnstable']
324,wendell,['Second Franklin']
325,wenham,['Fourth Essex']
326,west boylston,['Fourteenth Worcester']
327,west bridgewater,['Tenth Plymouth']
328,west brookfield,['Fifth Worcester']
329,west newbury,['Second Essex']
330,west springfield,['Sixth Hampden']
331,west stockbridge,['Fourth Berkshire']
332,west tisbury,"['Barnstable, Dukes and Nantucket']"
333,westborough,"['Fourth Middlesex', 'Eighth Middlesex', 'Eleventh Worcester']"
334,westfield,['Fourth Hampden']
335,westford,['First Middlesex']
336,westhampton,['First Hampshire']
337,westminster,"['First Worcester', 'Second Worcester']"
338,weston,['Fourteenth Norfolk']
339,westport,['Eigth Bristol']
340,westwood,['Eleventh Norfolk']
341,weymouth,"['Third Norfolk', 'Fourth Norfolk']"
342,whately,['First Franklin']
343,whitman,['Seventh Plymouth']
344,wilbraham,['Twelfth Hampden']
345,williamsburg,['First Franklin']
346,williamstown,['First Berkshire']
347,wilmington,"['Nineteenth Middlesex', 'Twenty-First Middlesex']"
348,winchendon,['Second Worcester']
349,winchester,['Thirty-First Middlesex']
350,windsor,['Second Berkshire']
351,winthrop,['Ninteenth Suffolk']
352,woburn,"['Fifteenth Middlesex', 'Thirtieth Middlesex']"
353,worcester,"['Thirteenth Worcester', 'Fourteenth Worcester', 'Fifteenth Worcester', 'Sixteenth Worcester', 'Seventeenth Worcester']"
354,worthington,['First Franklin']
355,wrentham,['Ninth Norfolk']
356,yarmouth,"['First Barnstable', 'Second Barnstable']"
