,year,district,name,sex,party,vote_count,vote_percent
227,2014,3rd Hampshire,Ellen S. Story,f,Democratic,"8,125",88.0
228,2014,1st Middlesex,Sheila C. Harrington,f,Republican,"9,958",64.3
229,2014,2nd Middlesex,James Arciero,m,Democratic,"9,263",52.8
230,2014,3rd Middlesex,Kate Hogan,f,Democratic,"9,847",60.2
231,2014,4th Middlesex,Danielle W. Gregoire,f,Democratic,"6,392",49.9
232,2014,5th Middlesex,David Paul Linsky,m,Democratic,"10,699",62.5
233,2014,6th Middlesex,Chris Walsh,m,Democratic,"9,763",83.4
234,2014,7th Middlesex,Tom Sannicandro,m,Democratic,"7,188",98.8
235,2014,8th Middlesex,Carolyn C. Dykema,f,Democratic,"9,621",56.7
236,2014,9th Middlesex,Thomas M. Stanley,m,Democratic,"9,293",71.4
237,2014,10th Middlesex,"John J. Lawn, Jr.",m,Democratic,"7,402",98.2
238,2014,11th Middlesex,Kay S. Khan,f,Democratic,"11,652",98.6
239,2014,12th Middlesex,Ruth B. Balser,f,Democratic,"11,552",98.5
240,2014,13th Middlesex,Carmine Lawrence Gentile,m,Democratic,"10,977",98.5
241,2014,14th Middlesex,Cory Atkins,m,Democratic,"12,080",75.1
242,2014,15th Middlesex,Jay R. Kaufman,m,Democratic,"12,625",99.1
243,2014,16th Middlesex,"Thomas A. Golden, Jr.",m,Democratic,"8,235",97.9
244,2014,17th Middlesex,David M. Nangle,m,Democratic,"7,226",96.5
245,2014,18th Middlesex,Rady Mom,m,Democratic,"3,867",61.5
246,2014,19th Middlesex,James R. Miceli,m,Democratic,"10,781",70.1
247,2014,20th Middlesex,"Bradley H. Jones, Jr",m,Republican,"14,592",99.6
248,2014,21st Middlesex,Kenneth I. Gordon,m,Democratic,"8,129",52.2
249,2014,22nd Middlesex,Marc T. Lombardo,m,Republican,"10,379",95.8
250,2014,23rd Middlesex,Sean Garballey,m,Democratic,"14,018",77.6
251,2014,24th Middlesex,David M. Rogers,m,Democratic,"12,748",99.1
252,2014,25th Middlesex,Marjorie C. Decker,f,Democratic,"10,082",98.8
253,2014,26th Middlesex,"Timothy J. Toomey, Jr.",m,Democratic,"8,789",87.0
254,2014,27th Middlesex,Denise Provost,f,Democratic,"10,771",87.7
255,2014,28th Middlesex,"Joseph W. Mcgonagle, Jr",m,Democratic,"7,329",98.3
256,2014,29th Middlesex,Jonathan Hecht,m,Democratic,"12,614",98.9
257,2014,30th Middlesex,James J. Dwyer,m,Democratic,"10,578",98.9
258,2014,31st Middlesex,Michael Seamus Day,m,Democratic,"9,270",51.4
259,2014,32nd Middlesex,Paul A. Brodeur,m,Democratic,"10,965",65.9
260,2014,33rd Middlesex,Steven Ultrino,m,Democratic,"5,801",66.4
261,2014,34th Middlesex,Christine P. Barber,f,Democratic,"7,043",64.1
262,2014,35th Middlesex,"Paul J. Donato, Sr.",m,Democratic,"9,697",98.3
263,2014,36th Middlesex,Colleen M. Garry,f,Democratic,"7,840",53.7
264,2014,37th Middlesex,Jennifer E. Benson,f,Democratic,"11,659",99.1
265,2014,1st Norfolk,Bruce J. Ayers,m,Democratic,"9,820",98.6
266,2014,2nd Norfolk,Tackey Chan,m,Democratic,"9,474",97.9
267,2014,3rd Norfolk,Ronald Mariano,m,Democratic,"8,702",65.9
268,2014,4th Norfolk,James Michael Murphy,m,Democratic,"8,740",58.4
269,2014,5th Norfolk,Mark J. Cusack,m,Democratic,"10,806",99.1
270,2014,6th Norfolk,William C. Galvin,m,Democratic,"10,613",99.6
271,2014,7th Norfolk,"Walter F. Timilty, Jr.",m,Democratic,"11,274",99.1
272,2014,8th Norfolk,Louis L. Kafka,f,Democratic,"11,614",98.7
273,2014,9th Norfolk,Shawn C. Dooley,m,Republican,"1,922",61.1
274,2014,9th Norfolk,Shawn C. Dooley,m,Republican,"12,734",99.0
275,2014,10th Norfolk,Jeffrey N. Roy,m,Democratic,"11,135",97.7
276,2014,11th Norfolk,Paul McMurtry,m,Democratic,"11,922",99.1
277,2014,12th Norfolk,John H. Rogers,m,Democratic,"8,894",58.1
278,2014,13th Norfolk,Denise C. Garlick,f,Democratic,"13,091",98.4
279,2014,14th Norfolk,Alice Hanlon Peisch,f,Democratic,"12,101",99.4
280,2014,15th Norfolk,Frank Israel Smizik,m,Democratic,"9,332",80.6
281,2014,1st Plymouth,Mathew J. Muratore,m,Republican,"9,227",59.9
282,2014,2nd Plymouth,Susan Williams Gifford,f,Republican,"10,847",98.8
283,2014,3rd Plymouth,Garrett J. Bradley,m,Democratic,"13,367",99.3
284,2014,4th Plymouth,James M. Cantwell,m,Democratic,"10,560",58.6
285,2014,5th Plymouth,David F. Decoste,m,Republican,"8,332",50.1
286,2014,6th Plymouth,Josh S. Cutler,m,Democratic,"9,035",53.8
287,2014,7th Plymouth,Geoff Diehl,m,Republican,"11,528",99.2
288,2014,8th Plymouth,Angelo L. D'Emilia,m,Republican,"6,838",53.6
289,2014,9th Plymouth,Michael D. Brady,m,Democratic,"6,190",99.7
290,2014,10th Plymouth,Michelle M. Dubois,f,Democratic,"5,684",50.7
291,2014,11th Plymouth,Claire D. Cronin,f,Democratic,"9,321",99.0
292,2014,12th Plymouth,"Thomas J. Calter, III",m,Republican,"12,944",99.1
293,2014,1st Suffolk,Carlo P. Basile,m,Democratic,"4,965",76.1
294,2014,2nd Suffolk,Daniel Joseph Ryan,m,Democratic,"1,661",98.3
295,2014,2nd Suffolk,Daniel Joseph Ryan,m,Democratic,"7,669",98.7
296,2014,3rd Suffolk,Aaron M. Michlewitz,m,Democratic,"8,398",98.5
297,2014,4th Suffolk,Nick Collins,m,Democratic,"9,850",98.4
298,2014,5th Suffolk,Evandro C. Carvalho,m,Democratic,739,91.2
299,2014,5th Suffolk,Evandro C. Carvalho,m,Democratic,"6,025",88.0
300,2014,6th Suffolk,Russell E. Holmes,m,Democratic,"7,663",99.1
301,2014,7th Suffolk,Gloria L. Fox,f,Democratic,"4,641",98.0
302,2014,8th Suffolk,Jay D. Livingstone,m,Democratic,"8,769",98.6
303,2014,9th Suffolk,Byron Rushing,m,Democratic,"6,583",98.7
304,2014,10th Suffolk,Edward F. Coppinger,m,Democratic,"11,923",98.8
305,2014,11th Suffolk,Elizabeth A. Malia,f,Democratic,"9,912",99.1
306,2014,12th Suffolk,Dan Cullinane,m,Democratic,"10,272",99.0
307,2014,13th Suffolk,Daniel J. Hunt,m,Democratic,"1,597",97.0
308,2014,13th Suffolk,Daniel J. Hunt,m,Democratic,"9,259",98.5
309,2014,14th Suffolk,Angelo M. Scaccia,m,Democratic,"9,920",98.5
310,2014,15th Suffolk,Jeffrey Sanchez,m,Democratic,"9,582",99.0
311,2014,16th Suffolk,Roselee Vincent,f,Democratic,"1,586",67.5
312,2014,16th Suffolk,Roselee Vincent,f,Democratic,"7,431",98.4
313,2014,17th Suffolk,Kevin G. Honan,m,Democratic,"5,609",98.3
314,2014,18th Suffolk,Michael J. Moran,m,Democratic,"5,039",98.1
315,2014,19th Suffolk,Robert A. DeLeo,m,Democratic,"7,330",71.6
316,2014,1st Worcester,Kimberly N. Ferguson,f,Republican,"13,847",99.4
317,2014,2nd Worcester,Jonathan D. Zlotnik,m,Democratic,"5,859",50.1
318,2014,3rd Worcester,Stephen L. DiNatale,m,Democratic,"7,800",99.6
319,2014,4th Worcester,Dennis A. Rosa,m,Democratic,"6,649",55.0
320,2014,5th Worcester,"Donald R. Berthiaume, Jr",m,Republican,"8,344",56.3
321,2014,6th Worcester,Peter J. Durant,m,Republican,"7,210",62.9
322,2014,7th Worcester,Paul K. Frost,m,Republican,"10,087",73.6
323,2014,8th Worcester,Kevin J. Kuros,m,Republican,"8,331",60.4
324,2014,9th Worcester,"David K. Muradian, Jr",m,Republican,"8,980",62.4
325,2014,10th Worcester,John V. Fernandes,m,Democratic,"8,677",58.9
326,2014,11th Worcester,Matthew A. Beaton,m,Republican,"12,457",99.4
327,2014,12th Worcester,"Harold P. Naughton, Jr.",m,Democratic,"8,497",55.4
328,2014,13th Worcester,"John J. Mahoney, Jr.",m,Democratic,"7,545",68.5
329,2014,14th Worcester,James J. O'Day,m,Democratic,"8,194",97.9
330,2014,15th Worcester,Mary S. Keefe,f,Democratic,"4,731",97.9
331,2014,16th Worcester,Daniel M. Donahue,m,Democratic,"5,351",97.9
332,2014,17th Worcester,Kate D. Campanale,f,Republican,"4,688",50.2
333,2014,18th Worcester,Joseph D. Mckenna,m,Republican,"7,809",60.1
