,Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
18,610U300US25019,25019,First Essex ,67301,784,3130,404,3209,379,2843,307,2923,385,2479,411,3116,403,2804,436,2201,343,2461,325,4682,437,6598,500,9472,721,6980,479,5086,411,5343,465,3974,391
19,610U300US25020,25020,First Essex & Middlesex ,62301,725,2108,331,1946,306,1788,250,1890,271,1636,280,2205,332,1905,258,1695,272,1573,264,3786,469,4860,463,8221,637,7189,491,6121,502,6950,477,8428,541
20,610U300US25021,25021,Second Essex ,67665,767,3488,389,3630,393,3069,408,2869,364,2606,396,2773,344,2489,353,2390,327,2486,375,4850,410,7024,547,9523,650,6666,489,4713,468,4885,446,4204,393
21,610U300US25022,25022,Third Essex ,62790,648,4473,481,3657,400,2714,360,2922,351,2751,320,2716,283,2507,329,2348,341,2011,299,3988,382,5563,528,7951,578,6031,557,3839,429,4676,401,4643,428
22,610U300US25023,25023,Fifth Middlesex ,66290,758,3318,421,2675,394,2430,339,2442,354,2475,372,2345,396,2021,274,2529,388,2014,355,4685,461,6384,558,8692,603,7139,514,5419,445,6847,552,4875,405
23,610U300US25024,25024,Fourth Middlesex ,65006,738,1993,279,1847,277,1973,351,2098,322,1790,307,2163,267,1962,373,2012,349,1578,286,3959,407,5347,515,8906,621,7925,449,6617,475,7203,535,7633,545
30,610U300US25031,25031,Bristol & Norfolk ,56001,761,1495,251,1712,305,1809,268,1967,270,1478,251,1623,274,1639,334,1884,314,1790,240,3708,443,5015,498,7607,536,6906,480,5026,421,5706,508,6636,490
31,610U300US25032,25032,"Norfolk, Bristol & Plymouth ",57293,771,1880,316,2174,309,2113,292,1973,322,1727,299,1778,292,1821,312,1762,287,1736,303,4138,459,4847,427,7534,440,6932,484,4656,430,6169,479,6053,381
32,610U300US25033,25033,Norfolk & Plymouth ,65533,824,3548,444,2918,370,2578,355,2536,347,2805,374,3094,407,2484,295,2548,301,2554,379,5121,479,7068,569,9116,693,6844,553,4539,424,4760,447,3020,344
33,610U300US25034,25034,Plymouth & Norfolk ,63574,648,2112,296,1990,279,1755,254,1878,282,1895,363,2728,371,2366,289,1837,227,1894,278,3995,386,5717,456,7633,618,7487,560,5338,436,6146,502,8803,589
34,610U300US25035,25035,Second Plymouth & Bristol ,56018,700,3429,381,3234,409,2372,331,2492,335,2242,328,2509,348,2055,358,2404,320,2021,333,4232,416,5575,574,8525,587,5540,461,3349,308,3917,430,2122,279
35,610U300US25036,25036,First Plymouth & Bristol ,62022,745,3200,378,3136,445,2344,337,2572,307,2239,348,2411,353,2354,372,2490,327,2894,427,4409,416,6249,563,9101,669,6976,517,4657,433,4130,355,2860,381
36,610U300US25037,25037,First Bristol & Plymouth ,65718,783,5782,527,5441,526,4155,449,3483,386,3381,419,3356,381,2886,391,2567,314,2368,280,4364,391,6443,474,7686,598,5544,408,3369,338,2966,296,1927,253
38,610U300US25039,25039,Plymouth & Barnstable ,62103,871,2197,289,2271,327,2429,358,2445,317,2201,352,2549,336,2265,360,2343,392,2301,349,4538,463,6101,472,9232,732,6861,515,4926,398,5419,532,4025,373
39,610U300US25040,25040,Cape & Islands ,75697,1293,4117,436,4068,500,3247,403,3380,375,3532,427,3413,431,3304,404,3742,413,3321,355,5956,479,8272,676,10520,649,6972,607,4063,408,4200,462,3590,352
